,0,1
1380,2019-10-04 07:31:08," {""date"": ""20191004"", ""time"": ""073007"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.132}"
1381,2019-10-04 07:31:08," {""date"": ""20191004"", ""time"": ""073011"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.39""}"
1382,2019-10-04 07:31:09," {""date"": ""20191004"", ""time"": ""073108"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01436525""}"
1384,2019-10-04 08:01:07," {""date"": ""20191004"", ""time"": ""080005"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.257}"
1385,2019-10-04 08:01:07," {""date"": ""20191004"", ""time"": ""080010"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.29""}"
1386,2019-10-04 08:01:07," {""date"": ""20191004"", ""time"": ""080107"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01604225""}"
1388,2019-10-04 08:31:06," {""date"": ""20191004"", ""time"": ""083005"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.382}"
1389,2019-10-04 08:31:06," {""date"": ""20191004"", ""time"": ""083009"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.29""}"
1390,2019-10-04 08:31:06," {""date"": ""20191004"", ""time"": ""083106"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01968851""}"
1392,2019-10-04 09:01:05," {""date"": ""20191004"", ""time"": ""090004"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.32}"
1393,2019-10-04 09:01:06," {""date"": ""20191004"", ""time"": ""090008"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.01""}"
1394,2019-10-04 09:01:06," {""date"": ""20191004"", ""time"": ""090105"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01955582""}"
1396,2019-10-04 09:31:05," {""date"": ""20191004"", ""time"": ""093003"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 11.882}"
1397,2019-10-04 09:31:05," {""date"": ""20191004"", ""time"": ""093007"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""8.33""}"
1398,2019-10-04 09:31:05," {""date"": ""20191004"", ""time"": ""093105"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01942724""}"
